Wanderung gegenüber Wien nach Geburtsstaat und Geschlecht - Zeitreihe;;;;;;;;;;;;;;;
Migration in Vienna by country of birth and sex - time series;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;COUNTRY_OF_BIRTH;MIG_NET_TOTAL;MIG_NET_EXT;IMM_EXT;EMI_EXT;MIG_NET_INT;IMM_INT;EMI_INT;MIG_VIE_INT;REF_DATE
AT1;AT13;AT130;00000;00000000;2;DEU;999;1110;2017;907;-111;280;391;1982;2008
AT1;AT13;AT130;00000;00000000;2;POL;514;604;1306;702;-90;121;211;2020;2008
AT1;AT13;AT130;00000;00000000;2;ROU;878;897;1543;646;-19;222;241;1513;2008
AT1;AT13;AT130;00000;00000000;2;SVK;332;383;807;424;-51;122;173;1021;2008
AT1;AT13;AT130;00000;00000000;2;HUN;302;307;706;399;-5;130;135;597;2008
AT1;AT13;AT130;00000;00000000;2;BGR;471;472;778;306;-1;62;63;743;2008
AT1;AT13;AT130;00000;00000000;2;CZE;45;88;282;194;-43;76;119;509;2008
AT1;AT13;AT130;00000;00000000;2;REST-EU;285;296;1364;1068;-11;151;162;1078;2008
AT1;AT13;AT130;00000;00000000;2;SCG;300;322;1211;889;-22;263;285;4977;2008
AT1;AT13;AT130;00000;00000000;2;TUR;625;603;1077;474;22;199;177;3738;2008
AT1;AT13;AT130;00000;00000000;2;BIH;247;226;499;273;21;220;199;2053;2008
AT1;AT13;AT130;00000;00000000;2;HRV;60;62;223;161;-2;56;58;533;2008
AT1;AT13;AT130;00000;00000000;2;MKD;168;170;222;52;-2;31;33;497;2008
AT1;AT13;AT130;00000;00000000;2;RUS;633;226;440;214;407;577;170;995;2008
AT1;AT13;AT130;00000;00000000;2;CHN;48;0;334;334;48;160;112;786;2008
AT1;AT13;AT130;00000;00000000;2;OTHER;1650;1344;4565;3221;306;926;620;6559;2008
AT1;AT13;AT130;00000;00000000;1;AUT;-2776;-1165;2994;4159;-1611;10031;11642;41180;2008
AT1;AT13;AT130;00000;00000000;1;DEU;1199;1226;2255;1029;-27;364;391;1913;2008
AT1;AT13;AT130;00000;00000000;1;POL;51;110;1468;1358;-59;136;195;1893;2008
AT1;AT13;AT130;00000;00000000;1;ROU;758;897;1835;938;-139;148;287;1078;2008
AT1;AT13;AT130;00000;00000000;1;SVK;47;98;515;417;-51;43;94;394;2008
AT1;AT13;AT130;00000;00000000;1;HUN;314;345;719;374;-31;98;129;441;2008
AT1;AT13;AT130;00000;00000000;1;BGR;433;438;814;376;-5;31;36;502;2008
AT1;AT13;AT130;00000;00000000;1;CZE;-11;13;203;190;-24;45;69;248;2008
AT1;AT13;AT130;00000;00000000;1;REST-EU;464;502;1702;1200;-38;147;185;1215;2008
AT1;AT13;AT130;00000;00000000;1;SCG;149;206;1808;1602;-57;317;374;5455;2008
AT1;AT13;AT130;00000;00000000;1;TUR;406;412;1356;944;-6;287;293;5541;2008
AT1;AT13;AT130;00000;00000000;1;BIH;172;149;578;429;23;229;206;2355;2008
AT1;AT13;AT130;00000;00000000;1;HRV;-3;7;242;235;-10;51;61;557;2008
AT1;AT13;AT130;00000;00000000;1;MKD;146;142;335;193;4;63;59;746;2008
AT1;AT13;AT130;00000;00000000;1;RUS;541;132;356;224;409;605;196;1018;2008
AT1;AT13;AT130;00000;00000000;1;CHN;29;18;326;308;11;152;141;671;2008
AT1;AT13;AT130;00000;00000000;1;OTHER;1141;404;5286;4882;737;1868;1131;10201;2008
AT1;AT13;AT130;00000;00000000;2;AUT;-1292;-1080;1412;2492;-212;11201;11413;39838;2009
AT1;AT13;AT130;00000;00000000;2;DEU;881;910;1957;1047;-29;352;381;2054;2009
AT1;AT13;AT130;00000;00000000;2;POL;302;379;1172;793;-77;120;197;1921;2009
AT1;AT13;AT130;00000;00000000;2;ROU;771;758;1666;908;13;240;227;1596;2009
AT1;AT13;AT130;00000;00000000;2;SVK;315;343;820;477;-28;116;144;950;2009
AT1;AT13;AT130;00000;00000000;2;HUN;352;370;846;476;-18;150;168;683;2009
AT1;AT13;AT130;00000;00000000;2;BGR;318;330;853;523;-12;56;68;767;2009
