Herkunftsgebiet (Österreichisches Bundesland,Ausland) in Wien gemeldeter Personen, nach Geschlecht und Wiener Zählbezirk ;;;;;;;;;;;;;;;;;;
Place of Birth (Austrian Provinces, Foreign) of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;BORN_AT13;BORN_AT11;BORN_AT12;BORN_AT21;BORN_AT22;BORN_AT31;BORN_AT32;BORN_AT33;BORN_AT34;BORN_AT_UNCLASSIFIED;FOREIGN_BORN;REF_DATE
AT1;AT13;AT130;92101;2113;2;2405;1555;47;297;31;52;39;11;16;3;0;354;20110101
AT1;AT13;AT130;92101;2114;2;2623;1568;54;424;16;34;30;7;9;1;7;473;20110101
AT1;AT13;AT130;92101;2115;2;2311;1439;37;315;20;36;32;13;5;0;2;412;20110101
AT1;AT13;AT130;92101;2116;2;1735;1211;29;202;14;26;22;6;6;1;3;215;20110101
AT1;AT13;AT130;92101;2117;2;3427;2041;52;341;23;45;35;12;16;4;4;854;20110101
AT1;AT13;AT130;92101;2118;2;3568;1906;54;410;25;54;35;11;17;9;9;1038;20110101
AT1;AT13;AT130;92101;2119;2;1608;914;25;212;10;22;17;8;4;1;2;393;20110101
AT1;AT13;AT130;92101;2120;2;872;391;18;112;4;23;8;7;4;0;1;304;20110101
AT1;AT13;AT130;92101;2121;2;3107;1524;42;359;18;63;34;9;6;5;5;1042;20110101
AT1;AT13;AT130;92101;2122;2;4326;2181;77;537;38;93;42;26;17;10;8;1297;20110101
AT1;AT13;AT130;92101;2123;2;5331;2599;100;694;55;123;93;30;27;7;11;1592;20110101
AT1;AT13;AT130;92101;2124;2;1665;953;33;247;10;37;13;10;5;3;3;351;20110101
AT1;AT13;AT130;92101;2125;2;2278;1304;35;240;32;52;48;10;19;6;3;529;20110101
AT1;AT13;AT130;92101;2126;2;3774;2102;69;473;50;82;74;21;20;8;6;869;20110101
AT1;AT13;AT130;92101;2127;2;763;468;16;67;2;14;12;1;0;0;2;181;20110101
AT1;AT13;AT130;92101;2128;2;133;40;1;13;1;0;2;0;1;0;0;75;20110101
AT1;AT13;AT130;92101;2129;2;3;2;0;0;0;0;0;0;0;0;0;1;20110101
AT1;AT13;AT130;92101;2130;2;7;5;0;2;0;0;0;0;0;0;0;0;20110101
AT1;AT13;AT130;92101;2199;2;289;213;6;39;0;6;1;2;0;0;0;22;20110101
AT1;AT13;AT130;92201;2201;2;1019;591;23;132;13;28;10;3;3;0;0;216;20110101
AT1;AT13;AT130;92201;2202;2;2177;1376;28;207;18;47;22;8;4;2;3;462;20110101
AT1;AT13;AT130;92201;2203;2;715;475;11;69;6;11;8;0;3;1;2;129;20110101
AT1;AT13;AT130;92201;2204;2;1940;1274;46;213;17;43;26;6;5;1;3;306;20110101
AT1;AT13;AT130;92201;2205;2;2562;1658;46;291;25;63;23;6;10;2;2;436;20110101
AT1;AT13;AT130;92201;2206;2;5950;3700;108;616;42;109;53;20;18;6;13;1265;20110101
AT1;AT13;AT130;92201;2207;2;2429;1552;38;242;20;67;34;6;9;2;3;456;20110101
AT1;AT13;AT130;92201;2208;2;7800;4288;120;725;40;107;81;24;14;10;5;2386;20110101
AT1;AT13;AT130;92201;2209;2;7159;4085;132;733;56;147;89;37;22;4;4;1850;20110101
AT1;AT13;AT130;92201;2210;2;3255;1749;56;340;39;78;63;17;11;7;2;893;20110101
